type,csv_file,race_number,venue,date,dog_count,description,discrepancy_category,log_file,log_timestamp,log_action,log_status,file,conflicts,csv_data,log_data
missing_log_entry,test_race_e2e_1754188834.csv,unknown,unknown,,4.0,CSV race file test_race_e2e_1754188834.csv has no corresponding log entries,missing_log_entry,,,,,,,,
missing_log_entry,Race 1 - BEN - 11 July 2025.csv,1,BEN,2025-07-11,7.0,CSV race file Race 1 - BEN - 11 July 2025.csv has no corresponding log entries,missing_log_entry,,,,,,,,
missing_log_entry,Race 3 - SAN - 17 July 2025.csv,3,SAN,2025-07-17,10.0,CSV race file Race 3 - SAN - 17 July 2025.csv has no corresponding log entries,missing_log_entry,,,,,,,,
missing_log_entry,Race 2 - WAR - 2025-07-31.csv,2,WAR,2025-07-31,1.0,CSV race file Race 2 - WAR - 2025-07-31.csv has no corresponding log entries,missing_log_entry,,,,,,,,
missing_log_entry,Race 11 - MAND - 01 July 2025.csv,11,MAND,2025-07-01,6.0,CSV race file Race 11 - MAND - 01 July 2025.csv has no corresponding log entries,missing_log_entry,,,,,,,,
missing_log_entry,Race 1 - GEE - 22 July 2025.csv,1,GEE,2025-07-22,7.0,CSV race file Race 1 - GEE - 22 July 2025.csv has no corresponding log entries,missing_log_entry,,,,,,,,
missing_log_entry,Race 2 - GOUL - 01 August 2025.csv,2,GOUL,2025-08-01,7.0,CSV race file Race 2 - GOUL - 01 August 2025.csv has no corresponding log entries,missing_log_entry,,,,,,,,
missing_log_entry,Race 5 - HOBT - 2025-07-31.csv,5,HOBT,2025-07-31,10.0,CSV race file Race 5 - HOBT - 2025-07-31.csv has no corresponding log entries,missing_log_entry,,,,,,,,
missing_log_entry,Race 6 - RICH - 03 July 2025.csv,6,RICH,2025-07-03,8.0,CSV race file Race 6 - RICH - 03 July 2025.csv has no corresponding log entries,missing_log_entry,,,,,,,,
missing_log_entry,Race 3 - TAR - 02 August 2025.csv,3,TAR,2025-08-02,9.0,CSV race file Race 3 - TAR - 02 August 2025.csv has no corresponding log entries,missing_log_entry,,,,,,,,
missing_log_entry,Race 4 - HEA - 20 July 2025.csv,4,HEA,2025-07-20,9.0,CSV race file Race 4 - HEA - 20 July 2025.csv has no corresponding log entries,missing_log_entry,,,,,,,,
missing_log_entry,race_01_test_venue_2025-08-03.csv,01,test,2025-08-03,6.0,CSV race file race_01_test_venue_2025-08-03.csv has no corresponding log entries,missing_log_entry,,,,,,,,
missing_log_entry,Race 1 - BEN - 02 July 2025.csv,1,BEN,2025-07-02,7.0,CSV race file Race 1 - BEN - 02 July 2025.csv has no corresponding log entries,missing_log_entry,,,,,,,,
missing_log_entry,Race 10 - MURR - 08 July 2025.csv,10,MURR,2025-07-08,6.0,CSV race file Race 10 - MURR - 08 July 2025.csv has no corresponding log entries,missing_log_entry,,,,,,,,
missing_log_entry,Race 1 - WAR - 2025-07-31.csv,1,WAR,2025-07-31,1.0,CSV race file Race 1 - WAR - 2025-07-31.csv has no corresponding log entries,missing_log_entry,,,,,,,,
missing_log_entry,Race 3 - GOUL - 01 August 2025.csv,3,GOUL,2025-08-01,7.0,CSV race file Race 3 - GOUL - 01 August 2025.csv has no corresponding log entries,missing_log_entry,,,,,,,,
missing_log_entry,Race 8 - W_PK - 24 July 2025.csv,8,W_PK,2025-07-24,6.0,CSV race file Race 8 - W_PK - 24 July 2025.csv has no corresponding log entries,missing_log_entry,,,,,,,,
missing_log_entry,race_03_test_venue_2025-08-03.csv,03,test,2025-08-03,3.0,CSV race file race_03_test_venue_2025-08-03.csv has no corresponding log entries,missing_log_entry,,,,,,,,
missing_log_entry,Race 4 - BAL - 30 June 2025.csv,4,BAL,2025-06-30,10.0,CSV race file Race 4 - BAL - 30 June 2025.csv has no corresponding log entries,missing_log_entry,,,,,,,,
missing_log_entry,Race 2 - TAR - 02 August 2025.csv,2,TAR,2025-08-02,10.0,CSV race file Race 2 - TAR - 02 August 2025.csv has no corresponding log entries,missing_log_entry,,,,,,,,
missing_log_entry,Race 7 - CANN - 19 July 2025.csv,7,CANN,2025-07-19,7.0,CSV race file Race 7 - CANN - 19 July 2025.csv has no corresponding log entries,missing_log_entry,,,,,,,,
missing_log_entry,Race 1 - TAR - 02 August 2025.csv,1,TAR,2025-08-02,10.0,CSV race file Race 1 - TAR - 02 August 2025.csv has no corresponding log entries,missing_log_entry,,,,,,,,
missing_log_entry,Race 4 - RICH - 20 July 2025.csv,4,RICH,2025-07-20,9.0,CSV race file Race 4 - RICH - 20 July 2025.csv has no corresponding log entries,missing_log_entry,,,,,,,,
missing_log_entry,Race 4 - MAND - 10 July 2025.csv,4,MAND,2025-07-10,10.0,CSV race file Race 4 - MAND - 10 July 2025.csv has no corresponding log entries,missing_log_entry,,,,,,,,
missing_log_entry,Race 8 - GEE - 11 July 2025.csv,8,GEE,2025-07-11,7.0,CSV race file Race 8 - GEE - 11 July 2025.csv has no corresponding log entries,missing_log_entry,,,,,,,,
missing_log_entry,Race 7 - CASINO - 2025-07-31.csv,7,CASINO,2025-07-31,7.0,CSV race file Race 7 - CASINO - 2025-07-31.csv has no corresponding log entries,missing_log_entry,,,,,,,,
missing_log_entry,Race 1 - BROKEN-HILL - 2025-08-03.csv,1,BROKEN,2025-08-03,8.0,CSV race file Race 1 - BROKEN-HILL - 2025-08-03.csv has no corresponding log entries,missing_log_entry,,,,,,,,
missing_log_entry,Race 10 - CANN - 05 July 2025.csv,10,CANN,2025-07-05,5.0,CSV race file Race 10 - CANN - 05 July 2025.csv has no corresponding log entries,missing_log_entry,,,,,,,,
missing_log_entry,Race 6 - MEA - 26 July 2025.csv,6,MEA,2025-07-26,10.0,CSV race file Race 6 - MEA - 26 July 2025.csv has no corresponding log entries,missing_log_entry,,,,,,,,
missing_log_entry,Race 1 - GOUL - 01 August 2025.csv,1,GOUL,2025-08-01,8.0,CSV race file Race 1 - GOUL - 01 August 2025.csv has no corresponding log entries,missing_log_entry,,,,,,,,
missing_log_entry,race_02_test_venue_2025-08-03.csv,02,test,2025-08-03,4.0,CSV race file race_02_test_venue_2025-08-03.csv has no corresponding log entries,missing_log_entry,,,,,,,,
missing_log_entry,Race 2 - BAL - 21 July 2025.csv,2,BAL,2025-07-21,10.0,CSV race file Race 2 - BAL - 21 July 2025.csv has no corresponding log entries,missing_log_entry,,,,,,,,
missing_log_entry,Race 6 - CASINO - 2025-07-31.csv,6,CASINO,2025-07-31,7.0,CSV race file Race 6 - CASINO - 2025-07-31.csv has no corresponding log entries,missing_log_entry,,,,,,,,
log_only_race,,,,,,Log references file tmp_tests_uploads_large_test_file.csv not found in CSV directory,log_only_race,tmp_tests_uploads_large_test_file.csv,2025-08-02 05:29:16.248171+00:00,analyze_file,success,,,,
log_only_race,,,,,,Log references file test_race.csv not found in CSV directory,log_only_race,test_race.csv,2025-08-02 05:29:16.167837+00:00,analyze_file,success,,,,
field_conflict,,,,,,"Field conflicts found in Race 9 - HOBT - 2025-07-31.csv: Date mismatch: CSV=2025-07-31, Log=2025-08-02",field_conflict,,,,,Race 9 - HOBT - 2025-07-31.csv,"['Date mismatch: CSV=2025-07-31, Log=2025-08-02']","{'source_file': 'Race 9 - HOBT - 2025-07-31.csv', 'race_number': '9', 'venue_from_filename': 'HOBT', 'date_from_filename': '2025-07-31', 'csv_row_count': 35, 'csv_dates': ['2025-07-28', '2025-07-21', '2025-07-15', '2025-07-07', '2025-07-01', '2025-07-24', '2025-07-14', '2025-07-10', '2025-07-17', '2025-07-08', '2025-06-24', '2025-06-12', '2025-06-05', '2025-06-19', '2025-05-22', '2025-07-29', '2025-07-22', '2025-07-03', '2025-06-23'], 'csv_tracks': ['LCTN', 'HOBT'], 'csv_distances': [np.int64(278), np.int64(340), np.int64(461), np.int64(515)], 'csv_dog_count': 7, 'csv_dog_names': ['1. Get Noticed', '2. Fossil Bluff', '3. Black Panama', '4. Gas Lock', '6. Lizzy Milici'], 'data_source': 'csv'}","{'log_timestamp': '2025-08-02 05:29:16.155030+00:00', 'log_race_id': 'project_snapshot', 'log_event': nan, 'log_action': 'analyze_file', 'log_file': 'upcoming_races/Race 9 - HOBT - 2025-07-31.csv', 'log_status': 'success', 'data_source': 'log'}"
